Player,Shot90,GoalConvRate,DribbleSucRate,TouchInBox90,Pass90,PassAcc,FwdPass90,KeyPass90,PassToBoxAcc,ThruPass90,ThruPassAcc,Score90
L. Millar,2.14,16.667,68.37,4.9,25.1,71.63,6.59,0.8,50,1.42,37.5,0.54
J. Ankersen,2.14,11.268,60.66,2.89,23.06,71.54,5.93,0.12,44.26,0.72,29.17,0.24
T. Weilandt,1.56,21.053,75.21,2.25,29.69,79.31,8.72,0.41,54.93,0.78,36.84,0.33
Mika Borges,,0,,,,,,,,,,#VALUE!
R. Sambueza,1.83,17.778,65.56,2.07,40.07,81.28,11.8,0.53,56.59,1.91,44.68,0.4
T. Lawrence,2.24,8.791,64.11,2,27.92,76.79,7.57,0.17,55.95,0.57,21.74,0.27
Daniel Podence,2.45,8.421,72.07,4.88,34.8,74.8,9.96,0.67,56.76,1.37,32.08,0.39
H. Villalba,3.49,8.602,64.71,4.84,31.93,75.32,6.83,0.38,41.82,1.28,26.47,0.56
E. Barco,1.56,17.778,72.59,2.18,44.67,85.9,10.1,0.45,58.04,1.45,21.43,0.38
E. Castillo,2.27,16,71.9,3.76,22.04,74.69,3.31,0.54,44,0.45,40,0.45
Wenderson Galeno,2.85,8.791,66.87,2.69,23.62,67.95,5.47,0.59,52,1.56,22,0.44
H. Balić,1.68,25.806,59.2,2.76,21.59,72.43,4.38,0.22,52.5,0.27,40,0.59
S. Becker,1.38,14.583,73.89,2.99,29.8,69.88,4.75,0.72,42.86,0.55,15.79,0.4
D. Moberg-Karlsson,3.25,8.602,77.29,3.25,31.84,75.55,7.44,0.52,45.74,1.22,37.14,0.38
Suso,2.61,7.547,80.11,2.74,45.09,80.92,11.12,0.94,59.22,1.45,40.68,0.4
N. Baden Frederiksen,4.06,16.327,65.22,2.65,18.79,74.45,5.46,0.33,64,0.58,57.14,0.66
M. Chouiar,2.02,7.692,67.18,2.64,25.34,75.92,5.28,0.21,59.09,0.57,54.55,0.16
Tetê,3.98,13.636,69.79,3.8,29.46,82.82,6.78,0.72,52.94,1.08,33.33,0.63
M. Barrios,1.57,13.793,66.67,4.91,27.61,75.12,6.54,0.65,64.12,0.81,40,0.49
D. Salanović,1.99,16,58.19,3.11,20.73,67.31,4.74,0.4,42.31,0.48,25,0.48
D. Lajud,2.34,14.815,72.13,1.82,27.52,76.42,5.97,0.22,51.47,0.17,75,0.52
K. Pröger,2.68,9.877,69.05,2.45,21.87,73.22,6.25,0.33,43.75,0.17,60,0.39
Y. Orozco,2.52,10.145,69.91,2.37,37.99,81.54,8.11,0.4,50.65,1.24,32.35,0.44
S. Nakajima,2.95,8.537,77.17,2.37,30.65,78.29,11.65,0.47,64.29,1.94,37.04,0.36
J. Aquino,1.85,11.111,71.81,2.18,39.63,84.63,7.56,0.35,49.59,0.44,33.33,0.45
K. Narey,2.57,7.955,56.76,2.75,22.05,75.23,5.14,0.2,40,0.18,33.33,0.32
O. Tejeda,2.04,12,65.63,2.49,32.08,76.21,8.9,0.24,50.62,0.9,13.64,0.2
Marco Matias,1.55,19.444,57.81,2.1,21.21,78.74,4.77,0.26,50,0.26,0,0.34
T. Tissoudali,2.11,12.727,73.58,2.88,30.92,77.79,8.32,0.61,61.04,1.07,42.86,0.39
J. Pérez,2.03,15.909,75.71,2.77,30.86,82.78,5.27,0.42,65.91,0.65,50,0.46
A. Ayew,1.48,14,67.33,2.25,28.74,82.15,7.39,0.21,58.14,0.59,40,0.21
M. Dal Hende,1.2,17.949,71.43,2.03,41.34,77.66,15.05,0.22,47.73,0.46,33.33,0.31
Marc Fernández,2.8,12.963,58.46,2.85,19.47,68.88,6.78,0.36,38.71,1.04,15,0.36
S. Saucedo,3.94,9.589,73.19,2.54,31.21,79.93,5.78,0.49,43.4,1.03,26.32,0.6
C. Hudson-Odoi,2.27,16.216,74.12,4.96,47.27,84.07,7.59,0.86,56.58,0.98,43.75,0.74
J. Ward-Prowse,1.26,20.588,62.96,1.18,34.4,78.6,10.14,0.3,39.34,0.63,23.53,0.22
E. Kılınç,1.74,12.963,64.08,2.81,31.61,76.2,7.17,0.52,54.76,0.84,23.08,0.39
Carlos Soler,1.76,7.609,63.31,2.05,38.89,80.98,10.6,0.33,51.93,1.28,32.84,0.34
F. Ribéry,1.46,21.212,73.21,5.86,53.21,81.73,11.58,0.53,59.46,1.29,44.83,0.44
D. Hernández,1.65,19.444,66.83,2.61,28.85,77.58,7.89,0.28,49.37,0.28,0,0.37
V. Vakula,1.72,16.667,70.53,2.3,29.48,81.75,6.16,0.29,62.5,0.86,38.1,0.37
A. Cruz,1.14,18.182,60.38,2.39,24.39,73.19,9.03,0.36,50,0.78,26.67,0.26
L. Kastrati,1.21,21.212,59.15,2.94,22.15,71.81,4.48,0.55,46.58,0.18,0,0.26
A. Regattin,2.17,11.475,74.17,2.21,37.15,79.5,8.4,0.57,58.54,0.68,21.05,0.25
T. Mauricio,1.44,14,69.46,1.99,36.37,79.89,9.82,0.37,60,1.5,36.54,0.4
N. Kaltsas,2.17,10.769,55.45,2.51,37.68,74.82,9.32,0.3,51.2,1.04,25.81,0.4
Veton Berisha,1.72,12.727,69.84,3.54,28.43,70.37,6.7,1,59.14,0.78,36,0.35
Waldo Rubio,3,8.333,73.76,2.39,28.06,67.18,8,0.5,46.79,1.07,33.33,0.21
S. Myakushko,2.39,10.145,54.64,2.22,30.67,75.25,7.31,0.31,47.37,0.69,45,0.31
N. McGinn,1.95,11.29,78.4,1.95,26.96,76.14,5.49,0.47,61.43,0.41,38.46,0.38
G. Mackay-Steven,1.45,13.514,66.5,1.61,21.76,67.39,6.51,0.24,45.95,0.35,44.44,0.12
Marco Asensio,3.03,6.667,80.23,4.16,47.21,85.57,9.36,0.84,62.03,1.01,51.43,0.49
Vinícius Júnior,3.74,6.087,71.64,6.64,28.97,78.09,4.1,0.55,57.14,1.24,31.58,0.43
A. Moreno,3.35,12.963,56.76,4.41,26.27,72.58,6.4,0.31,45.83,1.24,30,0.49
T. Ince,2.65,5.941,72.08,3.23,29.92,81.23,6.69,0.5,53.77,0.63,29.17,0.34
N. Lang,2.15,11.765,80.26,3.29,49.26,77.5,15.51,0.72,53.73,2.82,34.33,0.5
J. Maghoma,1.34,11.538,67.19,2.07,19.11,74.42,5.35,0.41,56.06,0.44,23.53,0.26
J. Grot,2.12,12.5,59.6,2.91,18.04,72.13,4.15,0.18,57.14,0.22,40,0.35
A. Robic,1.58,23.333,65.05,2.11,24.85,73.46,7.7,0.26,46,0.69,30.77,0.43
Y. Court,2.1,15.556,70.79,2.15,33.16,76.34,10.13,0.37,51.95,1.4,30,0.56
Wanderson,2.94,6.422,72.24,4.27,32.61,78.23,7.13,0.59,59.15,0.65,37.5,0.41
Joaquín,1.33,17.5,83.24,2.43,46.36,85.51,8.65,0.63,66.67,0.83,52,0.33
C. Pulisic,2.09,16.667,71.08,4.53,43.93,81.99,7.76,0.25,55.1,1.04,19.05,0.5
O. Nguette,1.63,13.725,63.36,2.62,24.37,82.98,5.52,0.26,47.06,0.61,21.05,0.25
J. Correa,1.82,11.111,64.75,0.98,30.44,79.36,9.09,0.17,36.51,1.01,16.67,0.2
A. Diaby,1.65,14,65.18,3.21,26.08,79.21,5.22,0.2,50.94,0.53,18.75,0.33
Raphinha,2.28,10.769,71.43,3.51,27.26,71.26,6.78,0.77,46.49,1.19,44.12,0.32
P. M'Poku,1.53,14.583,77.34,2.8,40.47,78.69,12.95,0.86,62.04,1.85,29.31,0.2
E. Dennis,2.55,11.475,71.37,5.01,32.04,71.74,8.18,0.5,40.26,0.08,50,0.37
D. Etienne,2.23,16.279,58.68,4.09,28.12,69.61,7.51,0.62,42.67,2.02,28.21,0.41
T. Barkhuizen,1.7,11.321,62.32,2.54,22.98,71.65,5.62,0.32,49.4,0.55,35.29,0.22
S. Khelifi,2.03,12.727,59.43,2.14,30.43,79.59,6.69,0.33,53.01,0.15,100,0.44
Léo Jabá,1.49,17.073,64.41,3.23,29.88,74.51,6.89,0.62,58.82,0.91,16,0.61
S. Larsson,2.23,8.434,73.36,4.33,43.2,82.89,9.09,0.97,63.85,0.78,44.83,0.43
R. Doan,2.46,7.071,65.03,2.91,28.24,75.11,8.84,0.35,60,1.22,40.82,0.2
J. Corona,1.3,12.281,69.63,3.6,37.1,79.8,8.93,0.68,55.88,1,34.09,0.43
João Camacho,2.24,12.069,63.92,1.51,19.46,73.96,5.65,0.19,50.88,0.66,29.41,0.2
M. Antonio,2.52,9.589,68.56,3.38,28.94,72.86,7.75,0.28,45.24,0.76,36.36,0.38
D. Brooks,1.66,12.963,56.79,2.65,32.85,76.38,10.28,0.46,58.95,1.6,26.92,0.37
V. Grifo,2.4,13.208,68.04,2.45,40.81,80.56,9.7,0.41,56.94,1.41,35.48,0.41
L. Bruins,0.98,23.333,63.55,0.69,44.02,82.41,16.63,0.39,65.82,1.12,38.24,0.3
J. Hastie,1.55,16.667,55.46,3.13,13.69,63.71,3.68,0.18,46.15,0.29,37.5,0.33
J. Gressel,2.13,7.292,65.17,2.47,41.25,74.72,12.12,0.56,45.16,1.85,28.92,0.38
V. Kalitvintsev,2.28,15.909,69.78,2.07,36.89,74.86,9.22,0.62,54.62,0.67,15.38,0.52
D. Yanakov,4.33,12.281,65.03,2.88,19.96,73.76,2.88,0.23,44.74,0.23,33.33,0.53
D. Guba,1.63,22.581,64.75,2.27,19.23,66.85,5.11,0.16,30.91,1,42.11,0.42
F. Flecker,1.95,10.606,63.89,1.74,30.23,67.71,10.53,0.32,45.54,0.97,15.15,0.33
D. Caligiuri,1.36,12.5,76.71,1.21,35.09,73.1,14.03,0.19,49.04,0.92,28.95,0.12
M. van Bergen,1.52,18.919,64.2,2.25,26.27,69.89,5.2,0.53,35.56,0.16,50,0.41
C. Ninga,1.81,12.727,51.12,2.07,17.47,76.5,2.76,0.26,46.15,0.3,33.33,0.3
B. Acosty,2.81,11.475,71.63,3.73,29.08,81.01,5.52,0.41,48.78,0.6,23.08,0.41
E. Sabbi,1.69,15.217,62.5,2.53,23.11,73.33,6.23,0.18,47.54,0.73,15,0.33
R. Mak,1.3,17.949,66.89,2.64,31.08,83.12,6.65,0.33,50.6,0.33,30,0.27
M. Johnston,2.29,15.385,73.08,3.88,28.32,81.95,5.23,0.59,66.67,0.82,35.71,0.41
T. Walsh,2.01,9.259,84.27,2.98,24.43,61.68,5.33,0.52,42.18,0.34,44.44,0.45
B. Carrasco,1,19.355,51.49,1.29,31.68,73.57,8.21,0.26,45.97,0.81,32,0.26
J. Błaszczykowski,1.08,50,74.51,1.79,29.13,70.15,9.68,0.36,51.72,0.72,12.5,0.63
J. Herrera,2.18,11.905,65.31,3.16,29.52,74.52,7.11,0.36,52.86,0.47,55.56,0.36
B. Jatta,1.5,12.5,66.21,3.51,32.76,76.08,5.83,0.47,48.35,0.44,21.43,0.25
D. Ball,2.13,6.173,63.64,3.61,26.99,76.17,8.38,0.26,56.7,0.74,39.29,0.13
E. Youan,,0,,,,,,,,,,#VALUE!
D. Álvarez,2.21,16.667,68.85,1.9,30.9,78.13,7.56,0.43,51.56,1.17,42.11,0.62
A. Bassi,2.3,10.909,80.82,1.42,43.51,83.85,12.93,0.21,59.74,1.67,42.5,0.25
F. Sears,1.46,17.143,71.43,2.21,22.81,68.01,6.88,0.08,46.97,0.71,5.88,0.38
E. Puch,1.56,16.667,75.17,2.68,24.81,85.37,5.62,0.35,57.14,0.65,33.33,0.48
G. Edwards,1.26,16.667,60,2.03,24.49,60.2,9.19,0.21,33.33,0.56,37.5,0.28
M. Fofana,1.45,17.647,64.24,2.21,27.83,77.37,6.85,0.26,50,1.66,28.21,0.3
J. Plata,2.49,13.333,74.74,3.27,45.89,78.74,8.53,0.72,42.25,3.05,20,0.72
O. Çağlayan,2.21,7.937,53.5,3.89,27.04,69.43,5.18,0.56,37.25,0.81,17.39,0.43
J. Kovařík,1.15,18.75,65.91,1.44,29.9,75.12,7.94,0.5,44.95,0.61,23.53,0.4
E. Pačinda,3.69,11.321,69.23,3.27,27.65,68.01,8.36,0.42,41.38,1.32,15.79,0.49
C. Holse,1.87,12.245,69.1,2.52,35.12,76.66,8.2,0.27,57.3,1.03,33.33,0.34
D. N'Dongala,1.43,13.636,66.36,3.94,29.05,74.92,6.47,0.52,44.63,0.94,31.03,0.33
J. Ito,1.78,10.345,67.13,3.53,26.7,70.61,6.44,0.61,52.76,0.83,11.11,0.39
R. Pereyra,1.56,10.526,58.38,2.74,33.27,83.2,8.85,0.22,67.37,0.66,37.5,0.24
T. Walcott,1.61,14.286,66.36,3.69,24.48,72.53,6.15,0.31,44.64,0.35,33.33,0.31
Edgar Méndez,1.48,10.714,64.71,2.65,22.61,67.29,4.53,0.37,48.39,0.45,11.76,0.24
O. El Kabir,1.96,8.955,69.79,2.37,33.83,70.01,7.92,0.64,41.28,0.91,19.35,0.27
D. Jastrzembski,1.57,13.333,60.43,4.39,27.89,69.48,6.63,0.47,49.23,0.52,50,0.63
Taison,2.07,8.219,71.57,2.87,56.89,87.26,15.54,0.82,73.36,2.98,42.86,0.6
R. Kent,1.9,7.895,68.88,2.55,35.04,85.82,7.17,0.37,66.07,0.37,26.67,0.3
G. Middleton,1.34,20.833,62.14,2.9,23.49,71.73,4.69,0.11,45.31,0.22,50,0.5
L. Duarte,1.75,15.385,68.03,1.52,32.7,83.42,9,0.18,65.12,0.99,40.91,0.31
A. Büyük,1.77,12,63.06,1.84,22.36,76.07,5.78,0.18,61.82,1.17,36.36,0.18
Víctor Rodríguez,2.57,9.091,74.23,4.21,45.58,79.38,12.67,0.35,57.81,1.44,29.73,0.35
H. Shipp,1.86,13.514,79.55,2.51,39.61,84.18,10.83,0.25,67.44,0.6,41.67,0.3
C. Roldán,0.87,17.143,71.56,1.64,45.46,87.4,13.79,0.27,62.35,0.4,68.75,0.3
J. Cobián,1.79,27.273,71.43,2.28,31.98,79.39,8.22,0.08,50,0.9,18.18,0.65
J. Delgado,1.15,25,71.3,2.35,22.8,70.11,7.39,0.1,38.78,0.43,11.11,0.39
M. Ullmann,1.41,7.143,58.91,1.15,36.28,70.38,14.93,0.18,46.51,0.64,18.75,0.08
A. Nordin,3.47,6,72,3.05,28.57,80.58,5.2,0.49,55.56,0.55,37.5,0.28
A. Robben,2.9,17.647,72.09,4.01,40.48,82.95,10.74,0.68,67.24,1.28,53.33,0.68
H. Hateboer,0.9,15.385,67.42,2.57,44.78,84.96,11.24,0.34,64.65,0.14,66.67,0.25
D. Accam,2.05,17.857,64.63,4.17,22.98,79.3,4.98,0.22,54.17,0.37,20,0.37
R. Nouri,1.61,11.765,60.92,2.4,26.76,75.91,4.96,0.54,40,0.51,12.5,0.38
D. Mancini,2.35,6.154,70.73,2.56,27.86,63.99,7.43,0.32,37.93,1.19,30.3,0.28
M. Chirinos,1.86,10.345,65.29,1.83,22.77,78,5.46,0.39,50,0.96,30,0.29
R. Potočný,2.23,7.463,65.93,1.69,28.27,70.86,8.04,0.47,49.44,0.66,30,0.27
D. Kądzior,1.98,12.5,74.63,1.98,32.99,78.95,8.52,0.41,59.79,1.12,29.63,0.66
A. Gruber,1.84,10.526,60.32,2.84,20.06,65.11,5.58,0.45,38.66,0.65,45,0.48
T. Ladra,1.9,12,76.85,2.85,30.18,73.39,8.18,0.46,53.85,0.49,61.54,0.31
Ilsinho,1.87,23.077,71.26,3.39,43.16,84.47,11.75,0.58,73.68,1.73,50,0.58
Fernando Canesin,0.91,22.222,64.24,2.05,28.96,69.37,9.51,0.44,54.35,1.24,27.03,0.23
J. Zmrhal,1.91,9.231,64.18,3.11,27.12,70.49,8.21,0.56,50,0.97,30.3,0.33
Brais Méndez,2.63,7.595,62.71,1.96,37.52,80.5,10.31,0.37,53.95,1.03,29.03,0.4
Óscar Plano,1.54,10,70.09,1.85,24.85,78.72,7.24,0.21,57.83,0.77,33.33,0.25
T. Boyd,1.87,15.385,79.17,2.16,20.74,75.69,5.23,0.34,54.55,0.38,12.5,0.43
A. Preciado,2.02,13.043,73.47,2.64,34.55,82.29,8.19,0.26,44.07,1.36,22.58,0.31
P. Wszołek,1.17,15,63.75,2.05,26.78,73.71,6.86,0.21,47.62,0.23,12.5,0.3
A. Hurtado,1.71,10,70.21,3.43,28.17,81.16,8.16,0.43,64.84,1,48.57,0.31
R. Quioto,2.69,8.219,72.82,3.54,27.97,72.2,5.01,0.37,49.06,1,40.74,0.37
A. Bakasetas,2.89,6.667,78.43,1.57,45.08,83.49,11.36,0.26,53.61,1.35,40.48,0.29
L. Boyé,2.01,15.789,70.78,2.7,33,77.24,7.56,0.26,40.91,0.9,17.65,0.43
P. Joosten,2.49,10.345,73.3,2.23,21.44,71.94,5.5,0.47,50.91,0.39,33.33,0.47
Jony,1.68,9.524,57.56,1.82,25.73,63.55,6.41,0.8,46.77,1.52,24.56,0.43
A. Umar,1.68,13.043,66,3.02,33.18,74.53,8.12,0.29,42.68,1.06,17.24,0.33
D. James,2.74,5.769,75.58,4.17,33.37,78.26,6.54,0.74,57.76,0.53,40,0.32
Cauly,2.25,10.526,61.71,2.25,25.19,77.55,7.67,0.2,69.05,0.91,21.74,0.36
Paulinho,1.41,17.143,66.87,1.53,36.47,81.57,10.55,0.68,59.46,1.41,42.86,0.16
D. Lainez,1.92,10,72.08,3.2,28.46,80.88,7.24,0.32,53.73,0.35,36.36,0.35
C. Stengs,2.37,10.714,63.45,2.92,35,75.42,10.64,0.55,57.89,2.29,40.74,0.42
M. Politano,2.53,5.825,75.91,2.31,41.78,77.5,9.18,0.76,55.79,0.86,28.57,0.25
Q. Promes,1.89,6.977,74.06,2.8,39.13,81.1,10.08,0.42,57.06,0.75,38.24,0.29
Bryan Salvatierra,0.83,26.316,73.6,1.58,25.34,73.83,6.63,0.44,43.94,0.57,23.08,0.4
F. Boulaya,2.34,7.595,66.67,2.1,39.01,76.72,11.71,0.35,52.5,1.95,28.79,0.36
Koke,0.66,20.69,78.72,0.89,66.52,87.99,19.92,0.25,45.16,1.89,31.33,0.25
J. Amon,1.69,17.857,64.9,4.1,23.34,69.77,6.39,0.42,62.5,1.87,38.71,0.36
M. Ibarra,1.09,17.143,73.91,2.23,34.16,80.93,9.09,0.31,67.53,0.53,35.29,0.28
A. Danjuma,2.33,12.766,72.73,3.47,32.48,78.17,5.95,0.79,50.72,0.4,25,0.4
Daniel Candeias,1.43,9.677,80.56,2.17,38.98,70.98,10.55,0.46,46.61,0.94,36.59,0.37
Pedro Henrique,2.15,13.333,71.57,2.62,23.24,71.25,4.29,0.05,26.32,0.57,25,0.29
A. Dreyer,2.14,5.405,68.6,3.82,29.73,80.9,7.94,0.64,72,0.52,55.56,0.29
J. Díaz,2.19,10.638,65.49,2,35.04,77.69,9.17,0.56,54.69,0.74,37.5,0.38
E. Vignato,2.14,8.333,81.08,1.79,39.76,82.93,12.02,0.54,56.92,0.6,40,0.24
Adrián López,1.83,24,71.43,4.32,31.2,80.52,8.06,0.29,73.91,0.81,54.55,0.66
Otávio,1.28,14.634,69.68,2.44,41.7,78.96,13.78,0.38,63.12,2.63,42.86,0.41
Witi,2.19,8.571,66.51,2.16,22.81,73.35,5.73,0.19,51.89,0.53,35.29,0.32
E. Salvio,2.86,11.765,63.91,4.54,36.48,76.65,8.35,0.45,48.39,1.01,33.33,0.33
T. Mohr,2.01,14.286,64.47,0.81,36.99,69.21,15.12,0.53,40.21,1.44,33.33,0.48
C. Ünder,2.3,10,70.99,3.22,32.19,74.49,6.56,0.5,52.99,1.23,34.38,0.58
M. López,1.33,18.182,69.16,2.13,31.68,79.16,8.01,0.48,48.68,0.81,45,0.56
K. Bua,2.36,12.245,57.05,3.71,29.12,78.51,6.64,0.72,60,0.77,50,0.72
J. Mathieu,2.05,13.889,60,2.05,30.23,76.04,9.64,0.17,70,1.43,20,0.4
M. Kennedy,1.9,9.677,74.31,2.27,23.06,73.5,5.28,0.43,44.12,0.64,42.86,0.21
E. Rigoni,2.46,16.216,64.91,3.52,32.35,70.43,7.51,0.33,44.44,0.66,20,0.6
A. Gogia,2.56,13.333,69.3,2.34,24.66,68.36,7.35,0.57,58.82,0.85,33.33,0.4
J. Mees,2.58,17.143,70.83,3.16,19.06,76.06,5.67,0.29,62.5,0.44,50,0.51
A. Schürrle,2.74,10.909,62.89,1.94,28.72,78.86,6.32,0.5,63.04,0.45,11.11,0.3
A. Gründler,2.46,9.677,69,3.26,33.68,73.35,8.3,0.44,45.57,0.79,15,0.4
A. Green,1.98,16.667,73.48,3.03,23.41,72.71,4.35,0.22,44.19,0.17,0,0.39
M. Deletić,2.19,10.345,69.8,2.42,23.56,74.64,5.75,0.15,36,0.53,35.71,0.3
N. Schiappacasse,3.44,9.836,73.38,3.67,17.59,65.71,5.75,0.17,50,0.85,33.33,0.28
H. Çalhanoğlu,3.05,4.138,78.21,2.33,48.62,84.65,12.18,0.27,59.74,1.16,34.55,0.3
I. Chair,3.97,8.108,77.16,2.09,25.15,75.91,6.38,0.59,59.38,0.27,60,0.59
B. Pelé,0.86,22.222,55.21,1.5,34.15,74.09,8.56,0.54,40,1.21,21.05,0.42
R. Murić,1.88,16.667,69.52,1.82,31,75.1,8.35,0.56,53.7,1.51,58.33,0.56
J. Hoilett,1.66,12.245,68.26,2.1,21.82,72.36,6.3,0.47,41.33,0.81,41.67,0.37
J. Hernández,2.78,8.696,60.71,1.45,31.72,79.19,8.57,0.24,61.64,0.81,35,0.4
Y. Asad,1.52,19.355,61.9,1.71,41.7,84.62,12.23,0.2,54.76,1.08,50,0.44
A. Hložek,2.13,13.158,75.44,3.31,21.01,79.14,6.24,0.51,61.54,0.73,46.15,0.39
G. Pasich,2.44,15.385,57.97,3.13,35.8,76.92,13.52,0.5,54.55,1.19,47.37,0.57
Francisco Trincão,2.21,19.355,66.67,2.99,23.83,76.42,5.91,0.5,48.48,0.85,33.33,0.5
A. Erokhin,1.95,12.245,69.44,3.14,33.14,79.86,9.81,0.12,50.98,0.64,37.5,0.32
Á. Correa,1.8,9.091,66.49,4.26,33.27,76.55,8.46,0.43,60,1.44,45.45,0.32
M. Köhlert,2.22,10.526,71.58,3.85,26.29,76.05,6.35,0.35,56.36,0.35,16.67,0.29
S. Kalu,2.58,6.667,66.31,2.16,32.26,74.76,7.69,0.41,39.81,1.27,18.92,0.24
Lucas Vázquez,1.33,11.628,66.33,3.93,50.55,83.36,10.14,0.8,58.55,1.24,37.5,0.24
D. Gray,2.12,7.692,76.92,2.81,29.48,78.29,6.53,0.16,42.86,0.82,20,0.16
L. Bailey,2.6,6.494,79.08,3.4,39.07,74.89,8.53,0.81,45.14,0.64,31.58,0.24
H. Elliot,,0,,,,,,,,,,#VALUE!
Garry Rodrigues,2.28,6.849,61.36,3.5,25.07,81.8,5.47,0.5,55.88,0.72,30.43,0.29
I. Bughridze,1.53,10.204,57.89,3.03,25.13,75.25,5.53,0.53,52.46,0.78,32,0.29
V. Pinson,,0,,,,,,,,,,#VALUE!
A. Doran,2.44,5.97,72.9,2.84,24.75,80.27,5.87,0.29,53.45,0.58,50,0.3
P. McMullan,1.99,9.434,70.62,3.19,30.24,68.61,9.15,0.49,43.97,0.9,16.67,0.27
D. Kolovos,2.79,12.195,74.19,3.13,37.95,84.92,7.22,0.2,68.42,1.29,42.11,0.68
Gelson Martins,1.84,9.756,65.73,3.76,28.42,78.08,7.84,0.22,60,0.58,38.46,0.31
A. Hahn,1.29,13.889,56,2.23,20.79,60.79,5.03,0.47,50,0.47,15.38,0.32
L. Quiñónes,1.64,7.463,69.09,2.37,35.42,80.01,10.06,0.37,58.45,0.95,38.46,0.39
Álvaro García,1.24,17.241,77.78,2.69,24.24,64.61,6.23,0.43,41.56,0.38,44.44,0.34
Adri Embarba,1.8,10.417,59.77,2.25,24.08,68.69,5.66,0.45,42.53,0.45,25,0.27
A. Katrich,1.88,10.811,63.33,3.31,31.12,77.74,6.47,0.51,53.97,0.51,40,0.3
F. Tait,2.53,5.556,68.31,2.22,39.22,78.35,11.42,0.34,51.16,1.21,37.21,0.36
B. Fofana,,0,,,,,,,,,,#VALUE!
J. George,1.94,9.434,61.07,2.93,26.26,67.69,8.67,0.33,47.83,1.1,16.67,0.22
W. Buckley,1.21,18.519,63.1,2.52,17.93,73.18,5.17,0.13,44.44,0.18,25,0.26
G. Koyalipou,2.06,14.815,62.5,2.83,19.96,68.2,5.05,0.08,41.67,0.76,30,0.39
I. Bebou,2.05,16.667,65.66,2.05,29.09,73.47,8.47,0.34,55.81,0.55,50,0.47
D. Limnios,0.92,16.129,64.67,2.47,31.9,79.18,6.7,0.45,52.58,0.15,0,0.3
Y. Benrahou,,0,,,,,,,,,,#VALUE!
S. Amallah,2.34,10,71.2,2.15,30.36,81.97,8.42,0.61,67.27,1.12,41.67,0.42
D. Burgzorg,1.5,17.857,72.57,2.14,15.14,78.8,3.69,0.21,64.29,0.16,66.67,0.43
A. Muyl,1.44,11.905,64.91,3.57,33.75,71.54,9.26,0.65,48.54,1.34,33.33,0.31
Z. Sanogo,2.02,10.87,63.24,2.29,31.14,68.22,6.38,0.66,36.59,1.1,40,0.44
M.  Eriksson,1.63,10.204,68.63,1.9,36.71,76.25,11.75,0.47,47.29,1.53,26.09,0.13
N. Okafor,1.9,10.204,71.22,2.63,30.89,77.69,5.69,0.46,47.56,0.58,60,0.23
C. Pontius,1.81,14.286,78.05,2.95,32,85.11,6.58,0.31,58.97,0.16,0,0.57
M. Vrousai,1.82,15.152,57.85,2.65,30.39,75.09,9.17,0.17,59.18,0.55,0,0.61
F. Cervi,1.27,16.129,62.2,2.5,35.11,76.29,9.76,0.25,39.02,0.78,31.58,0.37
M. Phillips,1.41,12.821,75.32,1.44,30.37,70.51,7.22,0.51,37.1,0.76,23.81,0.36
R. Renner,1.02,14.706,73.89,1.27,29.66,73.78,11.36,0.36,49.3,0.42,21.43,0.24
R. Miyaichi,1.45,17.241,65.91,2.84,20.38,66.99,4.78,0.6,41.67,0.5,40,0.25
J. Lens,1.44,12.195,62.5,3.17,32.22,71.48,8.63,0.56,52.59,0.85,20.83,0.43
Ricardo Quaresma,1.77,9.434,76.86,2.78,33.26,72.03,5.45,0.7,53.09,0.97,41.38,0.56
T. Conraad,1.75,13.333,53.25,3.03,18.58,73.35,4.72,0.23,54.17,0.99,17.65,0.23
J. Schlupp,1.48,12.5,80.25,2.7,32.44,79.82,10.51,0.26,62.5,0.63,29.41,0.25
J. Paintsil,2.22,10.638,64.86,3.03,26.5,80.54,5.87,0.33,60.32,0.47,20,0.29
R. Philippoteaux,1.41,9.091,59.19,2.23,30.35,76.2,9.22,0.49,51.24,0.85,18.18,0.15
Z. Ferhat,1.04,13.158,68.25,1.8,35.55,71.48,9.51,0.57,47.56,1.39,25.49,0.36
Boschilia,2.55,11.111,52.94,2.09,30.6,81.15,6.51,0.34,54.55,0.79,35.71,0.45
Pedro Nuno,3,8.333,63.89,2.3,29.18,78.94,8.5,0.15,51.85,0.65,53.85,0.45
Hildeberto Pereira,1.49,15.625,60.12,2.79,18.92,70.76,5.9,0.23,41.46,0.74,12.5,0.19
Aleksey Miranchuk,1.5,7.353,67.02,2.88,45.65,79.52,12.19,0.64,60.43,2.18,28.28,0.37
K. Kvaratskhelia,3.46,6.579,64.29,2.91,29.79,78.78,6.14,0.14,40,1.27,10.71,0.28
J. Wallace,1.62,6.494,64.97,2.19,34.25,67.14,9.82,0.48,50.79,0.91,32.56,0.22
A. Bonnet,2.1,9.091,76.67,1.95,32.93,77.38,10.89,0.53,57.14,1.22,18.75,0.23
C. O'Dowda,1.23,14.286,77.91,2,26.4,76.46,6.39,0.28,46.03,0.35,10,0.25
M. Lestienne,2.37,10.204,75.61,3.05,29.44,75.53,6.62,0.24,45.21,1.4,20.69,0.34
